Crop,Variety, Stems ,Period
Roses,Comanche,9655,05/03/2023
Roses,Flambo,3100,05/03/2023
Roses,Fuchsiana,8025,05/03/2023
Roses,Furiosa,10828,05/03/2023
Roses,H3O,6005,05/03/2023
Roses,Inka,3050,05/03/2023
Roses,Madam Cerise,3050,05/03/2023
Roses,Ranuncula,9000,05/03/2023
Roses,Red Calypso,1440,05/03/2023
Roses,Smiley,504,05/03/2023
Roses,Sonrisa,8406,05/03/2023
Roses,Sweet Unique,13153,05/03/2023
Roses,Topsun,6672,05/03/2023
Roses,Tropical Amazon,3539,05/03/2023
Roses,Wild Calypso,3480,05/03/2023
Hypericum,Green Revival,7960,06/03/2023
Hypericum,Magical Triumph,69170,06/03/2023
Hypericum,Royal Princess,10400,06/03/2023
Hypericum,Snow Prince,300,06/03/2023
Roses,Athena,18819,06/03/2023
Roses,Comanche,12784,06/03/2023
Roses,Flambo,3940,06/03/2023
Roses,Fuchsiana,14045,06/03/2023
Roses,Furiosa,5061,06/03/2023
Roses,H3O,4440,06/03/2023
Roses,Inka,2620,06/03/2023
Roses,Madam Cerise,1255,06/03/2023
Roses,Red Calypso,2620,06/03/2023
Roses,Sonrisa,12271,06/03/2023
Roses,Sweet Unique,14300,06/03/2023
Roses,Topsun,4605,06/03/2023
Roses,Tropical Amazon,4152,06/03/2023
Roses,Wild Calypso,6408,06/03/2023
Hypericum,Excellent Flair,5160,07/03/2023
Hypericum,Green Revival,23160,07/03/2023
Hypericum,Magical Triumph,59600,07/03/2023
Hypericum,Royal Princess,11600,07/03/2023
Hypericum,Snow Prince,300,07/03/2023
Roses,Athena,20094,07/03/2023
Roses,Comanche,12960,07/03/2023
Roses,Flambo,7104,07/03/2023
Roses,Fuchsiana,14550,07/03/2023
Roses,Furiosa,11805,07/03/2023
Roses,H3O,11044,07/03/2023
Roses,Inka,12076,07/03/2023
Roses,Madam Cerise,6085,07/03/2023
Roses,Ranuncula,4500,07/03/2023
Roses,Red Calypso,13560,07/03/2023
Roses,Sonrisa,28774,07/03/2023
Roses,Sweet Unique,13680,07/03/2023
Roses,Topsun,11213,07/03/2023
Roses,Tropical Amazon,7624,07/03/2023
Roses,Wild Calypso,8472,07/03/2023
Hypericum,Green Revival,11034,08/03/2023
Hypericum,Magical Triumph,35616,08/03/2023
Hypericum,Royal Princess,7250,08/03/2023
Roses,Athena,17916,08/03/2023
Roses,Comanche,14675,08/03/2023
Roses,Flambo,4550,08/03/2023
Roses,Fuchsiana,15870,08/03/2023
Roses,Furiosa,10115,08/03/2023
Roses,H3O,8160,08/03/2023
Roses,Inka,2430,08/03/2023
Roses,Madam Cerise,2480,08/03/2023
Roses,Red Calypso,3280,08/03/2023
Roses,Smiley,1512,08/03/2023
Roses,Sonrisa,14615,08/03/2023
Roses,Sweet Unique,12423,08/03/2023
Roses,Topsun,8300,08/03/2023
Roses,Tropical Amazon,4329,08/03/2023
Roses,Wild Calypso,6147,08/03/2023
Hypericum,Green Revival,8050,09/03/2023
